id,feyenoord,datasoort,j2006,j2007,j2008,j2009,j2011
31,Kop van Zuid Entrepot,vandalisme,12.1,12.8,15.7,11.7,12.2
32,Vreewijk,vandalisme,10.5,11,12.6,12.4,8.7
33,Bloemhof,vandalisme,10.9,8.9,14.3,20.1,13.9
34,Hillesluis,vandalisme,15.5,14.1,26.6,26.9,18
35,Katendrecht,vandalisme,15.2,7.3,18,12.3,8.2
36,Afrikaanderwijk,vandalisme,14.1,18.4,25.4,29.3,18.3
37,Feijenoord,vandalisme,16,16.5,25.9,24.1,26.7
38,Noordereiland,vandalisme,9.8,11,8.7,5.8,8.5
39,Feijenoord,vandalisme,12.9,12.7,19.1,19.1,14.8
40,Rotterdam,vandalisme,14.3,14.9,18.7,17,13.9
